signal_id,source_key,endpoint_type,dataset_id,dataset_title,record_type,state,program_focus,topic_keys,metric_name,metric_value,metric_period,date_released,date_modified,rht_flag,importance_score,score_evidence_json,source_url,raw_json,last_checked_at
cmsmedicaid-a251717eabc5324b,cms_data,cms_data_api,e0eba16f-ce0d-4037-96ce-2af70c718c98,ACO REACH Providers,dataset_signal,,provider_data,cms; aco_reach; value_based_care; provider_data; telehealth,aco_reach_provider_rows,191493,2024,,2026-07-20,false,71,"{""dataset_id"":""e0eba16f-ce0d-4037-96ce-2af70c718c98"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""aco_reach_provider_rows"",""metric_period"":""2024"",""metric_value"":""191493"",""rht_flag"":false,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""aco_reach"",""value_based_care"",""provider_data"",""telehealth""],""why_matters"":""ACO REACH provider participation, waiver elections, and telehealth flags show CMS model demand around provider data and care coordination.""}",https://data.cms.gov/cms-innovation-center-programs/accountable-care-models/aco-reach-providers,"{""stats"":{""found_rows"":191493,""total_rows"":191493},""why_matters"":""ACO REACH provider participation, waiver elections, and telehealth flags show CMS model demand around provider data and care coordination.""}",2026-07-24T04:43:51Z
cmsmedicaid-c2ae44791db1bc37,cms_data,cms_data_api,e0eba16f-ce0d-4037-96ce-2af70c718c98,ACO REACH Providers,dataset_signal,,provider_data,cms; aco_reach; value_based_care; provider_data; telehealth,aco_reach_telehealth_waiver_provider_rows,88387,2024,,2026-07-20,true,83,"{""dataset_id"":""e0eba16f-ce0d-4037-96ce-2af70c718c98"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""aco_reach_telehealth_waiver_provider_rows"",""metric_period"":""2024"",""metric_value"":""88387"",""rht_flag"":true,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""aco_reach"",""value_based_care"",""provider_data"",""telehealth""],""why_matters"":""ACO REACH provider participation, waiver elections, and telehealth flags show CMS model demand around provider data and care coordination.""}",https://data.cms.gov/cms-innovation-center-programs/accountable-care-models/aco-reach-providers,"{""filters"":{""telehealth_waiver"":""Y""},""stats"":{""found_rows"":88387,""total_rows"":234886},""why_matters"":""ACO REACH provider participation, waiver elections, and telehealth flags show CMS model demand around provider data and care coordination.""}",2026-07-24T04:43:51Z
cmsmedicaid-9da0dda7fc73c2b5,cms_data,cms_data_api,f6f6505c-e8b0-4d57-b258-e2b94133aaf2,Hospital Enrollments,dataset_signal,,provider_data,cms; provider_enrollment; hospitals; rural_health; reh,hospital_enrollment_rows,9175,,,2026-05-18,false,90,"{""dataset_id"":""f6f6505c-e8b0-4d57-b258-e2b94133aaf2"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""hospital_enrollment_rows"",""metric_period"":"""",""metric_value"":""9175"",""rht_flag"":false,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""provider_enrollment"",""hospitals"",""rural_health"",""reh""],""why_matters"":""Hospital enrollment and REH conversion flags show provider enrollment, revalidation, and rural facility transition demand.""}",https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/hospital-enrollments,"{""stats"":{""found_rows"":9175,""total_rows"":9175},""why_matters"":""Hospital enrollment and REH conversion flags show provider enrollment, revalidation, and rural facility transition demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-b8eda77ca6d9e1b6,cms_data,cms_data_api,f6f6505c-e8b0-4d57-b258-e2b94133aaf2,Hospital Enrollments,dataset_signal,,provider_data,cms; provider_enrollment; hospitals; rural_health; reh,hospital_reh_conversion_rows,48,,,2026-05-18,true,95,"{""dataset_id"":""f6f6505c-e8b0-4d57-b258-e2b94133aaf2"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""hospital_reh_conversion_rows"",""metric_period"":"""",""metric_value"":""48"",""rht_flag"":true,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""provider_enrollment"",""hospitals"",""rural_health"",""reh""],""why_matters"":""Hospital enrollment and REH conversion flags show provider enrollment, revalidation, and rural facility transition demand.""}",https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/hospital-enrollments,"{""filters"":{""REH CONVERSION FLAG"":""Y""},""stats"":{""found_rows"":48,""total_rows"":9175},""why_matters"":""Hospital enrollment and REH conversion flags show provider enrollment, revalidation, and rural facility transition demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-e87aad9fe20457b6,cms_data,cms_data_api,f6f6505c-e8b0-4d57-b258-e2b94133aaf2,Hospital Enrollments,dataset_signal,,provider_data,cms; provider_enrollment; hospitals; rural_health; reh,hospital_swing_bed_approved_rows,410,,,2026-05-18,true,95,"{""dataset_id"":""f6f6505c-e8b0-4d57-b258-e2b94133aaf2"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""hospital_swing_bed_approved_rows"",""metric_period"":"""",""metric_value"":""410"",""rht_flag"":true,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""provider_enrollment"",""hospitals"",""rural_health"",""reh""],""why_matters"":""Hospital enrollment and REH conversion flags show provider enrollment, revalidation, and rural facility transition demand.""}",https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/hospital-enrollments,"{""filters"":{""SUBGROUP - SWING-BED APPROVED"":""Y""},""stats"":{""found_rows"":410,""total_rows"":9175},""why_matters"":""Hospital enrollment and REH conversion flags show provider enrollment, revalidation, and rural facility transition demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-5350ba5c38797f27,cms_data,cms_data_api,086e48c4-87a6-4be1-8823-29e8da8f225b,Provider of Services File - Internet Quality Improvement and Evaluation System,dataset_signal,,rural_health,cms; provider_data; provider_of_services; rural_health; hospitals,provider_of_services_rows,77564,2026-Q2,,2026-07-16,false,65,"{""dataset_id"":""086e48c4-87a6-4be1-8823-29e8da8f225b"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""provider_of_services_rows"",""metric_period"":""2026-Q2"",""metric_value"":""77564"",""rht_flag"":false,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""provider_data"",""provider_of_services"",""rural_health"",""hospitals""],""why_matters"":""POS rural facility counts expose provider-data maintenance and rural hospital readiness signals without downloading the 175 MB source file.""}",https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/provider-of-services-file-internet-quality-improvement-and-evaluation-system,"{""stats"":{""found_rows"":77564,""total_rows"":77564},""why_matters"":""POS rural facility counts expose provider-data maintenance and rural hospital readiness signals without downloading the 175 MB source file.""}",2026-07-24T04:43:51Z
cmsmedicaid-7f2c8a883a4a0fa7,cms_data,cms_data_api,086e48c4-87a6-4be1-8823-29e8da8f225b,Provider of Services File - Internet Quality Improvement and Evaluation System,dataset_signal,,rural_health,cms; provider_data; provider_of_services; rural_health; hospitals,provider_of_services_rural_rows,12845,2026-Q2,,2026-07-16,true,77,"{""dataset_id"":""086e48c4-87a6-4be1-8823-29e8da8f225b"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""provider_of_services_rural_rows"",""metric_period"":""2026-Q2"",""metric_value"":""12845"",""rht_flag"":true,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""provider_data"",""provider_of_services"",""rural_health"",""hospitals""],""why_matters"":""POS rural facility counts expose provider-data maintenance and rural hospital readiness signals without downloading the 175 MB source file.""}",https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/provider-of-services-file-internet-quality-improvement-and-evaluation-system,"{""filters"":{""cbsa_urbn_rrl_ind"":""R""},""stats"":{""found_rows"":12845,""total_rows"":77564},""why_matters"":""POS rural facility counts expose provider-data maintenance and rural hospital readiness signals without downloading the 175 MB source file.""}",2026-07-24T04:43:51Z
cmsmedicaid-dec8d0d30be37386,cms_data,cms_data_api,3746498e-874d-45d8-9c69-68603cafea60,Revalidation Due Date List,dataset_signal,,provider_data,cms; provider_enrollment; revalidation; provider_data,provider_revalidation_due_list_rows,2922248,,,2026-07-14,false,93,"{""dataset_id"":""3746498e-874d-45d8-9c69-68603cafea60"",""endpoint_type"":""cms_data_api"",""method"":""API/stat query"",""metric_name"":""provider_revalidation_due_list_rows"",""metric_period"":"""",""metric_value"":""2922248"",""rht_flag"":false,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""provider_enrollment"",""revalidation"",""provider_data""],""why_matters"":""Provider revalidation due-date volume is a direct signal for enrollment operations, outreach, and provider data quality work.""}",https://data.cms.gov/provider-characteristics/medicare-provider-supplier-enrollment/revalidation-due-date-list,"{""stats"":{""found_rows"":2922248,""total_rows"":2922248},""why_matters"":""Provider revalidation due-date volume is a direct signal for enrollment operations, outreach, and provider data quality work.""}",2026-07-24T04:43:51Z
cmsmedicaid-7b13c1ffe4514bf3,cms_data,cms_provider_datastore,97xg-v3wv,Rural Emergency Hospital Timely and Effective Care - Hospital,dataset_signal,,rural_health,cms; rural_health; rural_emergency_hospital; quality; provider_data,rural_emergency_hospital_quality_measure_rows,164,,2026-05-13,2026-04-21,true,85,"{""dataset_id"":""97xg-v3wv"",""endpoint_type"":""cms_provider_datastore"",""method"":""datastore count"",""metric_name"":""rural_emergency_hospital_quality_measure_rows"",""metric_period"":"""",""metric_value"":""164"",""rht_flag"":true,""signal_dimension"":"""",""state"":"""",""topic_keys"":[""cms"",""rural_health"",""rural_emergency_hospital"",""quality"",""provider_data""],""why_matters"":""REH quality rows identify rural emergency hospitals and measure coverage relevant to RHT readiness and quality reporting demand.""}",https://data.cms.gov/provider-data/dataset/97xg-v3wv,"{""aggregation"":""datastore count"",""source_row_count"":164,""source_rows_used"":164,""why_matters"":""REH quality rows identify rural emergency hospitals and measure coverage relevant to RHT readiness and quality reporting demand.""}",2026-07-24T04:43:51Z
cmsmedicaid-dfff8968b0522a00,cms_data,cms_provider_datastore,97xg-v3wv,Rural Emergency Hospital Timely and Effective Care - Hospital,dataset_signal,AL,rural_health,cms; rural_health; rural_emergency_hospital; quality; provider_data,rural_emergency_hospital_facilities,3,2024-07-01/2025-06-30,2026-05-13,2026-04-21,true,85,"{""dataset_id"":""97xg-v3wv"",""endpoint_type"":""cms_provider_datastore"",""method"":""unique facility_id by state"",""metric_name"":""rural_emergency_hospital_facilities"",""metric_period"":""2024-07-01/2025-06-30"",""metric_value"":""3"",""rht_flag"":true,""signal_dimension"":"""",""state"":""AL"",""topic_keys"":[""cms"",""rural_health"",""rural_emergency_hospital"",""quality"",""provider_data""],""why_matters"":""REH quality rows identify rural emergency hospitals and measure coverage relevant to RHT readiness and quality reporting demand.""}",https://data.cms.gov/provider-data/dataset/97xg-v3wv,"{""aggregation"":""unique facility_id by state"",""measure_rows"":12,""source_rows_used"":164,""why_matters"":""REH quality rows identify rural emergency hospitals and measure coverage relevant to RHT readiness and quality reporting demand.""}",2026-07-24T04:43:51Z
