source_record_id,title,issued_date,released_date,modified_date,next_update_date,landing_page,download_url,publisher,keywords,description,raw_json
ct36-nrcq,Medical Equipment Suppliers,2020-12-17,2026-07-12,2026-07-12,,https://data.cms.gov/provider-data/dataset/ct36-nrcq,https://data.cms.gov/provider-data/sites/default/files/resources/3b76abb9b6f610373563b5ef08bb0d81_1783815333/Medical-Equipment-Suppliers.csv,data.medicare.gov,Medical equipment; Supplies; Supplier,A list of Suppliers that indicates the supplies carried at that location and the supplier's Medicare participation status.,"{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""Supplier"", ""hasEmail"": ""mailto:PPL_datacatalog@cms.hhs.gov""}, ""description"": ""A list of Suppliers that indicates the supplies carried at that location and the supplier's Medicare participation status."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/supplier/Supplier_Directory_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/3b76abb9b6f610373563b5ef08bb0d81_1783815333/Medical-Equipment-Suppliers.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""ct36-nrcq"", ""issued"": ""2020-12-17"", ""keyword"": [""Medical equipment"", ""Supplies"", ""Supplier""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/ct36-nrcq"", ""modified"": ""2026-07-12"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""data.medicare.gov""}, ""released"": ""2026-07-12"", ""theme"": [""Supplier directory""], ""title"": ""Medical Equipment Suppliers""}"
n0yb-util,Utilization Data,2024-01-04,2026-07-09,2026-06-26,2026-08-13,https://data.cms.gov/provider-data/dataset/n0yb-util,https://data.cms.gov/provider-data/sites/default/files/resources/72eedb23fcbe1ef3666f89db01b85e1d_1782750575/Utilization.csv,Centers for Medicare & Medicaid Services (CMS),Clinicians; Utilization,The Doctors and Clinicians utilization data file reports volume information for procedures of interest on clinician profile pages and in the provider data catalog (PDC) to inform patients and caregivers about clinicians' experience.,"{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""archiveExclude"": false, ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""CMS"", ""hasEmail"": ""mailto:QPP@cms.hhs.gov""}, ""description"": ""The Doctors and Clinicians utilization data file reports volume information for procedures of interest on clinician profile pages and in the provider data catalog (PDC) to inform patients and caregivers about clinicians' experience."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/physician/DOC_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/72eedb23fcbe1ef3666f89db01b85e1d_1782750575/Utilization.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""n0yb-util"", ""issued"": ""2024-01-04"", ""keyword"": [""Clinicians"", ""Utilization""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/n0yb-util"", ""modified"": ""2026-06-26"", ""nextUpdateDate"": ""2026-08-13"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-07-09"", ""theme"": [""Doctors and clinicians""], ""title"": ""Utilization Data""}"
mj5m-pzi6,National Downloadable File,2023-08-17,2026-07-09,2026-06-26,2026-08-13,https://data.cms.gov/provider-data/dataset/mj5m-pzi6,https://data.cms.gov/provider-data/sites/default/files/resources/52c3f098d7e56028a298fd297cb0b38d_1782750575/DAC_NationalDownloadableFile.csv,Centers for Medicare & Medicaid Services (CMS),Clinicians; Quality; Location,The Doctors and Clinicians national downloadable file is organized such that each line is unique at the clinician/enrollment record/group/address level. Clinicians with multiple Medicare enrollment records and/or single enrollments linking to multiple practice locations are listed on multiple lines.,"{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""archiveExclude"": false, ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""CMS"", ""hasEmail"": ""mailto:QPP@cms.hhs.gov""}, ""description"": ""The Doctors and Clinicians national downloadable file is organized such that each line is unique at the clinician/enrollment record/group/address level. Clinicians with multiple Medicare enrollment records and/or single enrollments linking to multiple practice locations are listed on multiple lines."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/physician/DOC_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/52c3f098d7e56028a298fd297cb0b38d_1782750575/DAC_NationalDownloadableFile.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""mj5m-pzi6"", ""issued"": ""2023-08-17"", ""keyword"": [""Clinicians"", ""Quality"", ""Location""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/mj5m-pzi6"", ""modified"": ""2026-06-26"", ""nextUpdateDate"": ""2026-08-13"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-07-09"", ""theme"": [""Doctors and clinicians""], ""title"": ""National Downloadable File""}"
27ea-46a8,Facility Affiliation Data,2023-08-17,2026-07-09,2026-06-26,2026-08-13,https://data.cms.gov/provider-data/dataset/27ea-46a8,https://data.cms.gov/provider-data/sites/default/files/resources/b7c4080ae144663e43353a9c35cd3f53_1782750576/Facility_Affiliation.csv,Centers for Medicare & Medicaid Services (CMS),Clinicians,This is the facility affiliations data publicly reported in the Provider Data Catalog.,"{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""archiveExclude"": false, ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""CMS"", ""hasEmail"": ""mailto:QPP@cms.hhs.gov""}, ""description"": ""This is the facility affiliations data publicly reported in the Provider Data Catalog."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/physician/DOC_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/b7c4080ae144663e43353a9c35cd3f53_1782750576/Facility_Affiliation.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""27ea-46a8"", ""issued"": ""2023-08-17"", ""keyword"": [""Clinicians""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/27ea-46a8"", ""modified"": ""2026-06-26"", ""nextUpdateDate"": ""2026-08-13"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-07-09"", ""theme"": [""Doctors and clinicians""], ""title"": ""Facility Affiliation Data""}"
tbry-pc2d,Survey Summary,2023-06-01,2026-06-24,2026-06-01,2026-07-29,https://data.cms.gov/provider-data/dataset/tbry-pc2d,https://data.cms.gov/provider-data/sites/default/files/resources/dbad3e484bdbc52e572454ddcff02919_1781194539/NH_SurveySummary_Jun2026.csv,Centers for Medicare & Medicaid Services (CMS),Complaints; Deficiencies; Citations,"Nursing home summary information for nursing home health, fire safety, infection control, and complaint inspections in the last three years, including dates of the three most recent inspections (including those with no citations), and counts of citations, overall and within specified categories. Data are presented as one inspection per provider. Citation counts also include citations from infection control surveys and complaint inspections.","{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""Nursing homes including rehab services"", ""hasEmail"": ""mailto:BetterCare@cms.hhs.gov""}, ""description"": ""Nursing home summary information for nursing home health, fire safety, infection control, and complaint inspections in the last three years, including dates of the three most recent inspections (including those with no citations), and counts of citations, overall and within specified categories. Data are presented as one inspection per provider. Citation counts also include citations from infection control surveys and complaint inspections."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/nursing_home/NH_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/dbad3e484bdbc52e572454ddcff02919_1781194539/NH_SurveySummary_Jun2026.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""tbry-pc2d"", ""issued"": ""2023-06-01"", ""keyword"": [""Complaints"", ""Deficiencies"", ""Citations""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/tbry-pc2d"", ""modified"": ""2026-06-01"", ""nextUpdateDate"": ""2026-07-29"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-06-24"", ""theme"": [""Nursing homes including rehab services""], ""title"": ""Survey Summary""}"
hicp-9999,State-Level Health Inspection Cut Points,2021-04-01,2026-06-24,2026-06-01,2026-07-29,https://data.cms.gov/provider-data/dataset/hicp-9999,https://data.cms.gov/provider-data/sites/default/files/resources/a7153b1e39d5a6068deb8f59cd4c74f1_1781194540/NH_HlthInspecCutpointsState_Jun2026.csv,Centers for Medicare & Medicaid Services (CMS),Deficiencies; Citations; Ratings; State,State-specific ranges for the weighted health inspection score for each health inspection star rating category.  Data are presented as one row per state or territory.,"{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""Nursing homes including rehab services"", ""hasEmail"": ""mailto:BetterCare@cms.hhs.gov""}, ""description"": ""State-specific ranges for the weighted health inspection score for each health inspection star rating category.  Data are presented as one row per state or territory."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/nursing_home/NH_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/a7153b1e39d5a6068deb8f59cd4c74f1_1781194540/NH_HlthInspecCutpointsState_Jun2026.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""hicp-9999"", ""issued"": ""2021-04-01"", ""keyword"": [""Deficiencies"", ""Citations"", ""Ratings"", ""State""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/hicp-9999"", ""modified"": ""2026-06-01"", ""nextUpdateDate"": ""2026-07-29"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-06-24"", ""theme"": [""Nursing homes including rehab services""], ""title"": ""State-Level Health Inspection Cut Points""}"
xcdc-v8bm,State US Averages,2025-07-01,2026-06-24,2026-06-01,2026-07-29,https://data.cms.gov/provider-data/dataset/xcdc-v8bm,https://data.cms.gov/provider-data/sites/default/files/resources/fa91f5acefee5dddc6823950c30b6394_1781194539/NH_StateUSAverages_Jun2026.csv,Centers for Medicare & Medicaid Services (CMS),Average; State; National; Quality; Staffing; Penalties,"A list of a variety of averages for each state or territory as well as the national average, including each quality measure, staffing, fine amount and number of deficiencies. Each row displays a specific state or territory, the associated measure and average.","{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""Nursing homes including rehab services"", ""hasEmail"": ""mailto:BetterCare@cms.hhs.gov""}, ""description"": ""A list of a variety of averages for each state or territory as well as the national average, including each quality measure, staffing, fine amount and number of deficiencies. Each row displays a specific state or territory, the associated measure and average."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/nursing_home/NH_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/fa91f5acefee5dddc6823950c30b6394_1781194539/NH_StateUSAverages_Jun2026.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""xcdc-v8bm"", ""issued"": ""2025-07-01"", ""keyword"": [""Average"", ""State"", ""National"", ""Quality"", ""Staffing"", ""Penalties""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/xcdc-v8bm"", ""modified"": ""2026-06-01"", ""nextUpdateDate"": ""2026-07-29"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-06-24"", ""theme"": [""Nursing homes including rehab services""], ""title"": ""State US Averages""}"
fykj-qjee,Skilled Nursing Facility Quality Reporting Program - Provider Data,2025-10-01,2026-06-24,2026-06-01,2026-07-29,https://data.cms.gov/provider-data/dataset/fykj-qjee,https://data.cms.gov/provider-data/sites/default/files/resources/d672bb70fe3ec90261fdf65855b6acbc_1781194538/Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jun2026.csv,Centers for Medicare & Medicaid Services (CMS),Skilled Nursing Facility Quality Reporting Program; Provider-level,"Skilled Nursing Facilities (SNFs) provide Medicare Part A SNF services to beneficiaries and must report data on certain measures of quality to Medicare through the Skilled Nursing Facility Quality Reporting Program (SNF QRP). This file contains a list of SNFs, as well as their results on the quality of resident care measures implemented under the IMPACT Act.","{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""Nursing homes including rehab services"", ""hasEmail"": ""mailto:SNFQRPPRQuestions@cms.hhs.gov""}, ""description"": ""Skilled Nursing Facilities (SNFs) provide Medicare Part A SNF services to beneficiaries and must report data on certain measures of quality to Medicare through the Skilled Nursing Facility Quality Reporting Program (SNF QRP). This file contains a list of SNFs, as well as their results on the quality of resident care measures implemented under the IMPACT Act."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/nursing_home/NH_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/d672bb70fe3ec90261fdf65855b6acbc_1781194538/Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jun2026.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""fykj-qjee"", ""issued"": ""2025-10-01"", ""keyword"": [""Skilled Nursing Facility Quality Reporting Program"", ""Provider-level""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/fykj-qjee"", ""modified"": ""2026-06-01"", ""nextUpdateDate"": ""2026-07-29"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-06-24"", ""theme"": [""Nursing homes including rehab services""], ""title"": ""Skilled Nursing Facility Quality Reporting Program - Provider Data""}"
4pq5-n9py,Provider Information,2026-02-01,2026-06-24,2026-06-01,2026-07-29,https://data.cms.gov/provider-data/dataset/4pq5-n9py,https://data.cms.gov/provider-data/sites/default/files/resources/bc7015f6a981fa7e209809e021f8f0cc_1781194538/NH_ProviderInfo_Jun2026.csv,Centers for Medicare & Medicaid Services (CMS),General Information; Address; Location; Ratings; Beds; Quality; Staffing; Penalties,"General information on currently active nursing homes, including number of certified beds, quality measure scores, staffing and other information used in the Five-Star Rating System. Data are presented as one row per nursing home.","{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""Nursing homes including rehab services"", ""hasEmail"": ""mailto:BetterCare@cms.hhs.gov""}, ""description"": ""General information on currently active nursing homes, including number of certified beds, quality measure scores, staffing and other information used in the Five-Star Rating System. Data are presented as one row per nursing home."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/nursing_home/NH_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/bc7015f6a981fa7e209809e021f8f0cc_1781194538/NH_ProviderInfo_Jun2026.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""4pq5-n9py"", ""issued"": ""2026-02-01"", ""keyword"": [""General Information"", ""Address"", ""Location"", ""Ratings"", ""Beds"", ""Quality"", ""Staffing"", ""Penalties""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/4pq5-n9py"", ""modified"": ""2026-06-01"", ""nextUpdateDate"": ""2026-07-29"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-06-24"", ""theme"": [""Nursing homes including rehab services""], ""title"": ""Provider Information""}"
g6vv-u9sr,Penalties,2026-06-01,2026-06-24,2026-06-01,2026-07-29,https://data.cms.gov/provider-data/dataset/g6vv-u9sr,https://data.cms.gov/provider-data/sites/default/files/resources/774fbb566fa65ae3d0d099efe6e41d6e_1781194537/NH_Penalties_Jun2026.csv,Centers for Medicare & Medicaid Services (CMS),Penalties,A list of the fines and payment denials received by nursing homes in the last three years.,"{""@type"": ""dcat:Dataset"", ""accessLevel"": ""public"", ""bureauCode"": [""009:38""], ""contactPoint"": {""@type"": ""vcard:Contact"", ""fn"": ""Nursing homes including rehab services"", ""hasEmail"": ""mailto:BetterCare@cms.hhs.gov""}, ""description"": ""A list of the fines and payment denials received by nursing homes in the last three years."", ""distribution"": [{""@type"": ""dcat:Distribution"", ""describedBy"": ""https://data.cms.gov/provider-data/sites/default/files/data_dictionaries/nursing_home/NH_Data_Dictionary.pdf"", ""describedByType"": ""application/pdf"", ""downloadURL"": ""https://data.cms.gov/provider-data/sites/default/files/resources/774fbb566fa65ae3d0d099efe6e41d6e_1781194537/NH_Penalties_Jun2026.csv"", ""mediaType"": ""text/csv""}], ""identifier"": ""g6vv-u9sr"", ""issued"": ""2026-06-01"", ""keyword"": [""Penalties""], ""landingPage"": ""https://data.cms.gov/provider-data/dataset/g6vv-u9sr"", ""modified"": ""2026-06-01"", ""nextUpdateDate"": ""2026-07-29"", ""programCode"": [""009:000""], ""publisher"": {""@type"": ""org:Organization"", ""name"": ""Centers for Medicare & Medicaid Services (CMS)""}, ""released"": ""2026-06-24"", ""theme"": [""Nursing homes including rehab services""], ""title"": ""Penalties""}"
