update_id,source_key,source_record_id,record_type,title,agency,program_focus,topic_keys,posted_date,updated_date,due_date,effective_date,docket_id,regulation_id,grant_id,opportunity_id,contract_id,vendor_keys_mentioned,rht_flag,comment_required_flag,action_required_by,importance_score,predictive_value_usd,score_evidence_json,summary,document_url,source_url,last_checked_at
upd-ba1bfc617f6d881c,grants,grants-363272,grant,Centers of Excellence (COE),Health Resources and Services Administration,review;rural_health,behavioral_health;hhs;hrsa,2026-07-22,2026-07-24,2027-02-02,,,,grants-363272,,,,false,false,2027-02-02,53,12100000,"{""award_ceiling"":""686000"",""award_floor"":""1"",""close_date"":""2027-02-02"",""estimated_total_program_funding"":""12100000"",""expected_awards"":22,""opportunity_number"":""HRSA-27-062"",""program_focus"":[""review"",""rural_health""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_grants.csv"",""source_score_evidence_keys"":[""agency_code"",""assistance_listing_number"",""award_ceiling"",""award_floor"",""close_date"",""detail_fetched"",""estimated_total_program_funding"",""expected_awards"",""funding_category"",""keyword_hits"",""rht_flag"",""top_agency_code""],""topic_keys"":[""behavioral_health"",""hhs"",""hrsa""]}","Private institutions of higher education; Public and State controlled institutions of higher education; Eligible entities are accredited allopathic schools of medicine, osteopathic medicine, dentistry, pharmacy, and graduate programs in behavioral or mental health.",https://www.grants.gov/search-results-detail/363272,,2026-07-24T04:04:01Z
upd-44604373bf942186,grants,grants-363275,grant,HIV Care Grant Program - Part B States/Territories Formula and AIDS Drug Assistance Program Formula and AIDS Drug Assistance Program Supplemental Awards: Pacific Islands Jurisdictions,Health Resources and Services Administration,eligibility;review;rht,eligibility;grant;hhs;hrsa,2026-07-22,2026-07-24,2026-10-21,,,,grants-363275,,,,false,false,2026-10-21,51,300000,"{""award_ceiling"":""0"",""award_floor"":""0"",""close_date"":""2026-10-21"",""estimated_total_program_funding"":""300000"",""expected_awards"":5,""matched_keywords"":[""eligibility""],""opportunity_number"":""HRSA-27-064"",""program_focus"":[""eligibility"",""review"",""rht""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_grants.csv"",""source_score_evidence_keys"":[""agency_code"",""assistance_listing_number"",""award_ceiling"",""award_floor"",""close_date"",""detail_fetched"",""estimated_total_program_funding"",""expected_awards"",""funding_category"",""keyword_hits"",""rht_flag"",""top_agency_code""],""topic_keys"":[""eligibility"",""grant"",""hhs"",""hrsa""]}","Others (see text field entitled ""Additional Information on Eligibility"" for clarification); Domestic territories, and freely associated states",https://www.grants.gov/search-results-detail/363275,,2026-07-24T04:04:03Z
upd-2711035845f24ffb,grants,grants-363277,grant,Telehealth Nutrition Services Network Grant Program,Health Resources and Services Administration,eligibility;review;rht;rural_health,eligibility;grant;hhs;hrsa;telehealth,2026-07-22,2026-07-24,2027-05-01,,,,grants-363277,,,,true,false,2027-05-01,50,4500000,"{""award_ceiling"":""300000"",""award_floor"":""0"",""close_date"":""2027-05-01"",""estimated_total_program_funding"":""4500000"",""expected_awards"":15,""matched_keywords"":[""eligibility"",""telehealth""],""opportunity_number"":""HRSA-27-044"",""program_focus"":[""eligibility"",""review"",""rht"",""rural_health""],""rht_flag"":true,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_grants.csv"",""source_score_evidence_keys"":[""agency_code"",""assistance_listing_number"",""award_ceiling"",""award_floor"",""close_date"",""detail_fetched"",""estimated_total_program_funding"",""expected_awards"",""funding_category"",""keyword_hits"",""rht_flag"",""top_agency_code""],""topic_keys"":[""eligibility"",""grant"",""hhs"",""hrsa"",""telehealth""]}","Native American tribal organizations (other than Federally recognized tribal governments); Special district governments; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Native American tribal governments (Federally recognized); County governments; City or township governments; Independent school districts; Private institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; State governments; Public housing authorities/Indian housing authorities; Small businesses; For profit organizations other than small businesses; Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""; Public and State controlled institutions of higher education",https://www.grants.gov/search-results-detail/363277,,2026-07-24T04:04:01Z
upd-b1c3e7c3805e30c4,grants,grants-363274,grant,Chronic Care Telehealth Centers of Excellence Program,Health Resources and Services Administration,review;rural_health,hhs;hrsa;telehealth,2026-07-22,2026-07-24,2027-05-03,,,,grants-363274,,,,true,false,2027-05-03,49,19000000,"{""award_ceiling"":""3800000"",""award_floor"":""0"",""close_date"":""2027-05-03"",""estimated_total_program_funding"":""19000000"",""expected_awards"":5,""matched_keywords"":[""telehealth""],""opportunity_number"":""HRSA-27-055"",""program_focus"":[""review"",""rural_health""],""rht_flag"":true,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_grants.csv"",""source_score_evidence_keys"":[""agency_code"",""assistance_listing_number"",""award_ceiling"",""award_floor"",""close_date"",""detail_fetched"",""estimated_total_program_funding"",""expected_awards"",""funding_category"",""keyword_hits"",""rht_flag"",""top_agency_code""],""topic_keys"":[""hhs"",""hrsa"",""telehealth""]}",Private institutions of higher education; Public and State controlled institutions of higher education; Academic Medical Centers.,https://www.grants.gov/search-results-detail/363274,,2026-07-24T04:04:03Z
upd-ec66ea0bd45c3396,federal_register,2026-14699,policy_update,Agency Information Collection Activities: Proposed Collection; Comment Request,Health and Human Services Department; Centers for Medicare & Medicaid Services,cms;interoperability;medicaid;medicare;quality,cms;interoperability;medicaid;medicare;quality,2026-07-21,2026-07-22,2026-09-21,,Document Identifier: CMS-R-284 and CMS-10105,,,,,,false,true,2026-09-21,91,,"{""comment_close_date"":""2026-09-21"",""docket_ids"":[""Document Identifier: CMS-R-284 and CMS-10105""],""document_type"":""Notice"",""matched_keywords"":[""CMS"",""Medicaid"",""Medicare""],""program_focus"":[""cms"",""interoperability"",""medicaid"",""medicare"",""quality""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_register_updates.csv"",""source_relevance_score"":91,""topic_keys"":[""cms"",""interoperability"",""medicaid"",""medicare"",""quality""]}","The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information (including each proposed extension or reinstatement of an existing collection of information) and to allow 60 days for public comment on the proposed action. Interested persons are invited to send comments regarding our burden estimates or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.",https://www.federalregister.gov/documents/2026/07/21/2026-14699/agency-information-collection-activities-proposed-collection-comment-request,https://www.federalregister.gov/documents/2026/07/21/2026-14699/agency-information-collection-activities-proposed-collection-comment-request,2026-07-22T19:01:20Z
upd-be6a84d870f22590,federal_register,2026-14583,policy_update,Medicare Program; Inflation Reduction Act of 2022 (IRA) Medicare Drug Price Negotiation Program Draft Guidance; Comment Request,Health and Human Services Department; Centers for Medicare & Medicaid Services,cms;interoperability;medicaid;medicare,cms;interoperability;medicaid;medicare,2026-07-20,2026-07-22,2026-09-18,,CMS-4219-N,,,,,,false,true,2026-09-18,91,,"{""comment_close_date"":""2026-09-18"",""docket_ids"":[""CMS-4219-N""],""document_type"":""Notice"",""matched_keywords"":[""CMS"",""Medicaid"",""Medicare""],""program_focus"":[""cms"",""interoperability"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_register_updates.csv"",""source_relevance_score"":91,""topic_keys"":[""cms"",""interoperability"",""medicaid"",""medicare""]}",The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' draft guidance for the Medicare Drug Price Negotiation Program regarding manufacturer effectuation of the maximum fair price in 2028 for the implementation of the Inflation Reduction Act of 2022 (IRA) (Pub. L. 117-169). CMS' draft guidance and other IRA-related guidance can be viewed on the CMS website at https://www.cms.gov/priorities/medicare- prescription-drug-affordability/medicare-prescription-drug- affordability.,https://www.federalregister.gov/documents/2026/07/20/2026-14583/medicare-program-inflation-reduction-act-of-2022-ira-medicare-drug-price-negotiation-program-draft,https://www.federalregister.gov/documents/2026/07/20/2026-14583/medicare-program-inflation-reduction-act-of-2022-ira-medicare-drug-price-negotiation-program-draft,2026-07-22T19:01:20Z
upd-faecc3991dd338db,federal_register,2026-14394,policy_update,Agency Information Collection Activities: Submission for OMB Review; Comment Request,Health and Human Services Department; Centers for Medicare & Medicaid Services,cms;interoperability;medicaid;medicare;quality,cms;interoperability;medicaid;medicare;quality,2026-07-17,2026-07-22,2026-08-17,,Document Identifier: CMS-10394 and CMS-10544,,,,,,false,true,2026-08-17,91,,"{""comment_close_date"":""2026-08-17"",""docket_ids"":[""Document Identifier: CMS-10394 and CMS-10544""],""document_type"":""Notice"",""matched_keywords"":[""CMS"",""Medicaid"",""Medicare""],""program_focus"":[""cms"",""interoperability"",""medicaid"",""medicare"",""quality""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_register_updates.csv"",""source_relevance_score"":91,""topic_keys"":[""cms"",""interoperability"",""medicaid"",""medicare"",""quality""]}","The Centers for Medicare & Medicaid Services (CMS) is announcing an opportunity for the public to comment on CMS' intention to collect information from the public. Under the Paperwork Reduction Act of 1995 (PRA), federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information, including each proposed extension or reinstatement of an existing collection of information, and to allow a second opportunity for public comment on the notice. Interested persons are invited to send comments regarding the burden estimate or any other aspect of this collection of information, including the necessity and utility of the proposed information collection for the proper performance of the agency's functions, the accuracy of the estimated burden, ways to enhance the quality, utility, and clarity of the information to be collected, and the use of automated collection techniques or other forms of information technology to minimize the information collection burden.",https://www.federalregister.gov/documents/2026/07/17/2026-14394/agency-information-collection-activities-submission-for-omb-review-comment-request,https://www.federalregister.gov/documents/2026/07/17/2026-14394/agency-information-collection-activities-submission-for-omb-review-comment-request,2026-07-22T19:01:20Z
upd-213f7232dd9a6b4d,federal_register,2026-14327,policy_update,Medicare and Medicaid Programs; CY 2027 Payment Policies Under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies; Medicare Shared Savings Program Requirements; and Medicare Prescription Drug Inflation Rebate Program,Health and Human Services Department; Centers for Medicare & Medicaid Services,claims;cms;interoperability;medicaid;medicare;quality;rural_health,claims;cms;interoperability;medicaid;medicare;quality;rural_health,2026-07-16,2026-07-22,2026-09-14,,CMS-1848-P,,,,,,true,true,2026-09-14,100,,"{""comment_close_date"":""2026-09-14"",""docket_ids"":[""CMS-1848-P""],""document_type"":""Proposed Rule"",""matched_keywords"":[""CMS"",""interoperability"",""Medicaid"",""Medicare"",""rural health""],""program_focus"":[""claims"",""cms"",""interoperability"",""medicaid"",""medicare"",""quality"",""rural_health""],""rht_flag"":true,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_register_updates.csv"",""source_relevance_score"":100,""topic_keys"":[""claims"",""cms"",""interoperability"",""medicaid"",""medicare"",""quality"",""rural_health""]}","This proposed rule addresses: changes to the physician fee schedule (PFS); other changes to Medicare Part B payment policies to ensure that payment systems are updated to reflect changes in medical practice, relative value of services, and changes in the statute; codification of establishment of new policies for: the Medicare Prescription Drug Inflation Rebate Program under the Inflation Reduction Act of 2022; the Ambulatory Specialty Model; updates to drugs and biological products paid under Part B; Medicare Shared Savings Program requirements; updates to the Quality Payment Program; updates to policies for Rural Health Clinics and Federally Qualified Health Centers; update to the Ambulance Fee Schedule regulations; codification of the Inflation Reduction Act and Consolidated Appropriations Act, 2026 provisions; updates to Clinical Laboratory Fee Schedule regulations; updates to the Medicare Promoting Interoperability Program.",https://www.federalregister.gov/documents/2026/07/16/2026-14327/medicare-and-medicaid-programs-cy-2027-payment-policies-under-the-physician-fee-schedule-and-other,https://www.federalregister.gov/documents/2026/07/16/2026-14327/medicare-and-medicaid-programs-cy-2027-payment-policies-under-the-physician-fee-schedule-and-other,2026-07-22T19:01:20Z
upd-a91381d05e310ed0,federal_register,2026-14359,policy_update,Medicaid and Children's Health Insurance Program (CHIP) Generic Information Collection Activities: Proposed Collection; Comment Request,Health and Human Services Department; Centers for Medicare & Medicaid Services,cms;interoperability;medicaid;medicare;quality,cms;interoperability;medicaid;medicare;quality;waiver,2026-07-16,2026-07-22,2026-07-30,,#22;#26;#34 and #95 and CMS-10434 #15;and #47;Document Identifiers: CMS-10398 #17,,,,,,false,true,2026-07-30,100,,"{""comment_close_date"":""2026-07-30"",""docket_ids"":[""Document Identifiers: CMS-10398 #17"",""#34 and #95 and CMS-10434 #15"",""#22"",""#26"",""and #47""],""document_type"":""Notice"",""matched_keywords"":[""CMS"",""Medicaid"",""Medicare""],""program_focus"":[""cms"",""interoperability"",""medicaid"",""medicare"",""quality""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_register_updates.csv"",""source_relevance_score"":100,""topic_keys"":[""cms"",""interoperability"",""medicaid"",""medicare"",""quality"",""waiver""]}","On May 28, 2010, the Office of Management and Budget (OMB) issued Paperwork Reduction Act (PRA) guidance related to the ""generic"" clearance process. Generally, this is an expedited process by which agencies may obtain OMB's approval of collection of information requests that are ""usually voluntary, low-burden, and uncontroversial collections,"" do not raise any substantive or policy issues, and do not require policy or methodological review. The process requires the submission of an overarching plan that defines the scope of the individual collections that would fall under its umbrella. On October 23, 2011, OMB approved our initial request to use the generic clearance process under control number 0938-1148 (CMS-10398). It was last approved on April 26, 2021, via the standard PRA process which included the publication of 60- and 30-day Federal Register notices. The scope of the April 2021 umbrella accounts for Medicaid and CHIP State plan amendments, waivers, demonstrations, and reporting. This Federal Register notice seeks public comment on one or more of our collection of information requests that we believe are generic and fall within the scope of the umbrella. Interested perso...",https://www.federalregister.gov/documents/2026/07/16/2026-14359/medicaid-and-childrens-health-insurance-program-chip-generic-information-collection-activities,https://www.federalregister.gov/documents/2026/07/16/2026-14359/medicaid-and-childrens-health-insurance-program-chip-generic-information-collection-activities,2026-07-22T19:01:20Z
upd-3476a920d4746273,federal_register,2026-14358,policy_update,Request for Information; Clinical Laboratory Improvement Amendments of 1988 (CLIA) Regulations,Health and Human Services Department; Centers for Medicare & Medicaid Services,cms;interoperability;medicaid;medicare,cms;interoperability;medicaid;medicare,2026-07-16,2026-07-22,2026-09-14,,CMS-3485-NC,,,,,,false,true,2026-09-14,91,,"{""comment_close_date"":""2026-09-14"",""docket_ids"":[""CMS-3485-NC""],""document_type"":""Proposed Rule"",""matched_keywords"":[""CMS"",""Medicaid"",""Medicare""],""program_focus"":[""cms"",""interoperability"",""medicaid"",""medicare""],""rht_flag"":false,""score_version"":""placeholder-rule-v1"",""source_file"":""data/federal_register_updates.csv"",""source_relevance_score"":91,""topic_keys"":[""cms"",""interoperability"",""medicaid"",""medicare""]}","Clinical laboratory testing technology has advanced significantly since the Clinical Laboratory Improvement Amendments of 1988 (CLIA) regulations were implemented in 1992. This request for information (RFI) seeks input from the public regarding various topics related to the CLIA regulations, including: breath testing; laboratory processes and procedures; emergency preparedness, biosafety and biosecurity, and cybersecurity; and specialty testing areas. Responses to this RFI may be used to help inform CMS and the CDC as to what types of action, if any, should be taken to update the existing CLIA regulations through future notice and comment rulemaking.",https://www.federalregister.gov/documents/2026/07/16/2026-14358/request-for-information-clinical-laboratory-improvement-amendments-of-1988-clia-regulations,https://www.federalregister.gov/documents/2026/07/16/2026-14358/request-for-information-clinical-laboratory-improvement-amendments-of-1988-clia-regulations,2026-07-22T19:01:20Z
