id,state,source,source_record_id,title,agency,document_type,posted_date,due_date,status,amount,document_url,source_url,matched_keywords,relevance_score,raw_json,last_checked_at
ut-bonfire-opportunity-ut-167619-52f6884161bf,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS91155,Fiscal Management Services,EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2037-12-31,Open,,https://utah.bonfirehub.com/opportunities/167619,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2037-12-31 14:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""365381e82bd15ad8c25a388efd5f7b44"",""ProjectID"":""167619"",""ProjectName"":""Fiscal Management Services"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS91155""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
ut-bonfire-opportunity-ut-185611-ce2f679772d6,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS91258,Support Coordination External,EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2037-12-30,Open,,https://utah.bonfirehub.com/opportunities/185611,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2037-12-30 07:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""07ab08a568f4b53e9e110b04e950008e"",""ProjectID"":""185611"",""ProjectName"":""Support Coordination External"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS91258""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
ut-bonfire-opportunity-ut-238419-3386e06bb4c9,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS26100,Services for DHHS Clients including Persons with ID.RC and/or ABI under the Limited Supports Waiver,EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2037-12-30,Open,,https://utah.bonfirehub.com/opportunities/238419,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2037-12-30 21:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""b7130c8f79a37a971d412bf7f1660571"",""ProjectID"":""238419"",""ProjectName"":""Services for DHHS Clients including Persons with ID.RC and/or ABI under the Limited Supports Waiver"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS26100""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
ut-bonfire-opportunity-ut-163509-7e89183780e3,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS91172,Services for DHHS Clients including People with ID.RC and/or ABI,EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2037-12-30,Open,,https://utah.bonfirehub.com/opportunities/163509,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2037-12-30 07:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""72e868b47fc46cc00d1a467fa223908f"",""ProjectID"":""163509"",""ProjectName"":""Services for DHHS Clients including People with ID.RC and/or ABI"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS91172""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
ut-bonfire-opportunity-ut-163778-c1f830111655,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS90741,Personal Emergency Response Systems and Medication Dispensary Devices,EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2037-12-30,Open,,https://utah.bonfirehub.com/opportunities/163778,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2037-12-30 07:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""e0a0bba901cb866057b491c1919c6502"",""ProjectID"":""163778"",""ProjectName"":""Personal Emergency Response Systems and Medication Dispensary Devices"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS90741""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
ut-bonfire-opportunity-ut-164913-70fd06297218,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS90928,Adaptive Equipment for DSPD Clients,EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2037-12-30,Open,,https://utah.bonfirehub.com/opportunities/164913,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2037-12-30 07:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""e39578794b22dfea00f8dc0f22f159d2"",""ProjectID"":""164913"",""ProjectName"":""Adaptive Equipment for DSPD Clients"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS90928""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
ut-bonfire-opportunity-ut-165631-ea87b6a71e1d,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS91199,DHHS Emergency Placement Short-Term Shelter,EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2035-09-30,Open,,https://utah.bonfirehub.com/opportunities/165631,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2035-09-30 16:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""549d53d5a5cac04dd622d42241b896b7"",""ProjectID"":""165631"",""ProjectName"":""DHHS Emergency Placement Short-Term Shelter"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS91199""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
ut-bonfire-opportunity-ut-189845-3a11221f5502,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS91266,Residential Small Group Home (DCFS),EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2035-06-30,Open,,https://utah.bonfirehub.com/opportunities/189845,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2035-06-30 21:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""83bab35bf9adacaa8eec6f5200acdc0c"",""ProjectID"":""189845"",""ProjectName"":""Residential Small Group Home (DCFS)"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS91266""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
vt-bid-system-vt-61218-7495958fafdc,VT,Vermont Business Registry Open State Bids,61218,RFI - Case Management Services for Individuals with Developmental Disabilities and Individuals with Brain Injuries,"Dept. of Disabilities, Aging & Independent Living",Vermont Request for Information,2024-05-21,2034-06-21,Open,,http://www.vermontbusinessregistry.com/bidAttachments/61218/VT_RFI_Response-Summary_PublicFINAL.pdf,https://www.vermontbusinessregistry.com/BidPreview.aspx?BidID=61218,behavioral health;claims;eligibility;managed care;Medicaid;MMIS,100,"{""catalog_url"":""https://www.vermontbusinessregistry.com/BidSystem/"",""detail"":{""attachments"":[{""title"":""VT_RFI_Response-Summary_PublicFINAL.pdf"",""url"":""http://www.vermontbusinessregistry.com/bidAttachments/61218/VT_RFI_Response-Summary_PublicFINAL.pdf""}],""detail_text"":""Vermont Business Registry and Bid System - Bid Detail function deleteSelection(){ if (confirm('You have chosen to discard your changes to this bid. If you choose to proceed, this action cannot be undone. Choose Ok to discard your changes.')) { return true; } else { // Abort the discard return false; } } To print, go to F ile on the menu bar and select P rint. RFI - Case Management Services for Individuals with Developmental Disabilities and Individuals with Brain Injuries Request Date: 5/21/2024 7:43:54 PM Open Date: 5/21/2024 Closing Date: 6/21/2034 4:00 PM Intent To Bid Deadline: 6/21/2024 Est. Dollar Value: $0.00 RFQ Number: DDSD-379 Dept. of Disabilities, Aging & Independent Living 280 State Drive Waterbury , VT 05671 Bid Type: Request for Information Locations: State-Wide Keywords: Developmental Disabilities Bid Description: This RFI is CLOSED, with the Final Report Published Below. This RFI was issued for the State of Vermont, Developmental Disabilities Services Division (DDSD) and Adult Services Division (ASD), within the Department of Disabilities, Aging and Independent Living (DAIL) in the Agency of Human Services (AHS), jointly hereafter \u201cState.\u201d The purpose of this RFI is to gather input and information about the provision of case management services for individuals with Developmental Disabilities and Brain Injuries. A complete description of the Division\u2019s programs can be found at the following websites: https://ddsd.vermont.gov/ and https://asd.vermont.gov/ PLEASE BE ADVISED THAT ALL NOTIFICATIONS, RELEASES, AND AMENDMENTS ASSOCIATED WITH THIS RFI WILL BE POSTED AT: http://www.vermontbidsystem.com. THE STATE WILL NOT ATTEMPT TO CONTACT INTERESTED PARTIES WITH UPDATED INFORMATION. IT IS THE RESPONSIBILITY OF EACH RESPONDENT TO CHECK http://www.vermontbidsystem.com PERIODICALLY FOR ANY AND ALL NOTICATIONS, RELEASES AND AMENDMENTS ASSOCIATED WITH THIS RFI. Sole RFI Contact: Dylan Frazer, Deputy Medicaid Director Department of Vermont Health Access Dylan.frazer@vermont.gov This RFI is available in alternate formats upon request. A document titled \""RFI_QA_6-17-24FINAL.PDF\"" has been posted 6/17/2024 as the Q&A responses for the RFI. Special Instructions: The RFI Response Summary Report for this RFI titled \""VT_RFI_Response-Summary_PublicFINAL.pdf\"" has been posted below on 7/9/2024. Contact Information: Dylan Frazer Phone: (802) 241-0304 Fax: Email: Dylan.frazer@vermont.gov For additional information: https://ddsd.vermont.gov/ Bid Attachments: VT_RFI_Response-Summary_PublicFINAL.pdf Site Visit: Date: -->"",""fields"":{""Bid Description"":""This RFI is CLOSED, with the Final Report Published Below. This RFI was issued for the State of Vermont, Developmental Disabilities Services Division (DDSD) and Adult Services Division (ASD), within the Department of Disabilities, Aging and Independent Living (DAIL) in the Agency of Human Services (AHS), jointly hereafter \u201cState.\u201d The purpose of this RFI is to gather input and information about the provision of case management services for individuals with Developmental Disabilities and Brain Injuries. A complete description of the Division\u2019s programs can be found at the following websites: https://ddsd.vermont.gov/ and https://asd.vermont.gov/ PLEASE BE ADVISED THAT ALL NOTIFICATIONS, RELEASES, AND AMENDMENTS ASSOCIATED WITH THIS RFI WILL BE POSTED AT: http://www.vermontbidsystem.com. THE STATE WILL NOT ATTEMPT TO CONTACT INTERESTED PARTIES WITH UPDATED INFORMATION. IT IS THE RESPONSIBILITY OF EACH RESPONDENT TO CHECK http://www.vermontbidsystem.com PERIODICALLY FOR ANY AND ALL NOTICATIONS, RELEASES AND AMENDMENTS ASSOCIATED WITH THIS RFI. Sole RFI Contact: Dylan Frazer, Deputy Medicaid Director Department of Vermont Health Access Dylan.frazer@vermont.gov This RFI is available in alternate formats upon request. A document titled \""RFI_QA_6-17-24FINAL.PDF\"" has been posted 6/17/2024 as the Q&A responses for the RFI."",""Bid Type"":""Request for Information"",""Closing Date"":""6/21/2034 4:00 PM"",""Contact Information"":""Dylan Frazer"",""Est. Dollar Value"":""$0.00"",""Intent To Bid Deadline"":""6/21/2024"",""Keywords"":""Developmental Disabilities"",""Locations"":""State-Wide"",""Open Date"":""5/21/2024"",""RFQ Number"":""DDSD-379 Dept. of Disabilities, Aging & Independent Living 280 State Drive Waterbury , VT 05671"",""Request Date"":""5/21/2024 7:43:54 PM"",""Special Instructions"":""The RFI Response Summary Report for this RFI titled \""VT_RFI_Response-Summary_PublicFINAL.pdf\"" has been posted below on 7/9/2024.""},""final_url"":""https://www.vermontbusinessregistry.com/BidPreview.aspx?BidID=61218""},""listing_row"":{""agency"":""Dept. of Disabilities, Aging & Independent Living"",""detail_url"":""https://www.vermontbusinessregistry.com/BidPreview.aspx?BidID=61218"",""due_date"":""6/21/2034 4:00:00 PM"",""listing_url"":""https://www.vermontbusinessregistry.com/BidSearch.aspx?type=5"",""source_record_id"":""61218"",""title"":""RFI - Case Management Services for Individuals with Developmental Disabilities and Individuals with Brain Injuries""},""open_date"":""2024-05-21"",""source_key"":""vt_bid_system"",""source_note"":""Official Vermont Business Registry and Bid System. The catalog /BidSystem/ URL returns 404, but the official home page links BidSearch.aspx?type=5 for Open State Bids; detail pages and bid attachments are public."",""state_bids_url"":""https://www.vermontbusinessregistry.com/BidSearch.aspx?type=5""}",2026-07-27T19:59:52+00:00
ut-bonfire-opportunity-ut-162426-6dec4e759185,UT,Utah Public Procurement Place Bonfire Open Opportunities,DHHS91073,"Clinical Evaluations, Treatment, Wrap Service and Forensic Evaluations RFSQ",EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services,Bonfire Sourcing Event,,2033-06-30,Open,,https://utah.bonfirehub.com/opportunities/162426,https://utah.bonfirehub.com/portal/?tab=openOpportunities,claims;eligibility;enrollment;managed care;Medicaid;Medicare,100,"{""department"":{""DepartmentName"":""EXECUTIVE BRANCH AGENCIES - Department of Health and Human Services""},""official_source_url"":""https://purchasing.utah.gov/for-vendors/"",""portal_url"":""https://utah.bonfirehub.com/portal/?tab=openOpportunities"",""project"":{""DateClose"":""2033-06-30 06:00:00"",""DepartmentID"":""11723"",""PrivateProjectID"":""571fcae67e628bb79c91c8349ced0b9a"",""ProjectID"":""162426"",""ProjectName"":""Clinical Evaluations, Treatment, Wrap Service and Forensic Evaluations RFSQ"",""ProjectStatusID"":""2"",""ProjectSubStatusID"":""1"",""ProjectVisibilityID"":""1"",""ReferenceID"":""DHHS91073""},""source_key"":""ut_procurement_place"",""source_note"":""Official Bonfire public portal JSON endpoint /PublicPortal/getOpenPublicOpportunitiesSectionData; no login or browser automation used.""}",2026-07-27T19:54:01Z
