id,state,source,source_record_id,record_type,title,agency,program_focus,topic_keys,posted_date,updated_date,due_date,effective_date,comment_required_flag,action_required_by,importance_score,summary,document_url,source_url,matched_keywords,rht_flag,raw_json,last_checked_at
stupd-8bb83b0e2aef7391,IL,il_hfs_provider_notices,prn260410a,provider_bulletin,Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP),Illinois Department of Healthcare and Family Services,interoperability;medicaid;medicare;rural_health,behavioral_health;interoperability;medicaid;medicare;rural_health;waiver,2026-04-10,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Program of All Inclusive Care for the Elderly %28PACE%29, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn260410a.html,https://hfs.illinois.gov/medicalproviders/notices.html,Medicaid;Medicare;rural health,true,"{""row"":[""2026"",""April 10, 2026"",[""prn260410a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn260410a.html"",""false""],""Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP)"",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Program+of+All+Inclusive+Care+for+the+Elderly+%28PACE%29, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-92902c4e59bdf888,IL,il_hfs_provider_notices,prn260318a,provider_bulletin,Increase in Medicaid Presumptive Eligibility (MPE) and Family Planning Presumptive Eligibility (FPPE) Income Standard Amounts,Illinois Department of Healthcare and Family Services,eligibility;interoperability;medicaid;rural_health,behavioral_health;eligibility;interoperability;medicaid;rural_health;waiver,2026-03-18,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Program of All Inclusive Care for the Elderly %28PACE%29, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn260318a.html,https://hfs.illinois.gov/medicalproviders/notices.html,eligibility;Medicaid;rural health,true,"{""row"":[""2026"",""March 18, 2026"",[""prn260318a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn260318a.html"",""false""],""Increase in Medicaid Presumptive Eligibility (MPE) and Family Planning Presumptive Eligibility (FPPE) Income Standard Amounts  "",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Program+of+All+Inclusive+Care+for+the+Elderly+%28PACE%29, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-6bca90c5b6cea482,IL,il_hfs_provider_notices,prn260202a,provider_bulletin,Updated Universal Provider Roster for Illinois Medicaid Managed Care Organizations,Illinois Department of Healthcare and Family Services,interoperability;managed_care;medicaid;rural_health,behavioral_health;interoperability;managed_care;medicaid;rural_health;waiver,2026-02-02,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn260202a.html,https://hfs.illinois.gov/medicalproviders/notices.html,managed care;Medicaid;rural health,true,"{""row"":[""2026"",""February 02, 2026"",[""prn260202a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn260202a.html"",""false""],""Updated Universal Provider Roster for Illinois Medicaid Managed Care Organizations"",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-5938eae8d07b460b,IL,il_hfs_provider_notices,prn260120a,provider_bulletin,Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP),Illinois Department of Healthcare and Family Services,interoperability;medicaid;medicare;rural_health,behavioral_health;interoperability;medicaid;medicare;rural_health;waiver,2026-01-20,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn260120a.html,https://hfs.illinois.gov/medicalproviders/notices.html,Medicaid;Medicare;rural health,true,"{""row"":[""2026"",""January 20, 2026"",[""prn260120a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn260120a.html"",""false""],""Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP)"",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-e7d207c6756244a0,IL,il_hfs_provider_notices,prn260109a,provider_bulletin,Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP),Illinois Department of Healthcare and Family Services,interoperability;medicaid;medicare;rural_health,behavioral_health;interoperability;medicaid;medicare;rural_health;waiver,2026-01-09,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn260109a.html,https://hfs.illinois.gov/medicalproviders/notices.html,Medicaid;Medicare;rural health,true,"{""row"":[""2026"",""January 09, 2026"",[""prn260109a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn260109a.html"",""false""],""Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP)"",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-a5fffb3a4435bd32,IL,il_hfs_provider_notices,prn251224a,provider_bulletin,Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP),Illinois Department of Healthcare and Family Services,interoperability;medicaid;medicare;rural_health,behavioral_health;interoperability;medicaid;medicare;rural_health;waiver,2025-12-24,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn251224a.html,https://hfs.illinois.gov/medicalproviders/notices.html,Medicaid;Medicare;rural health,true,"{""row"":[""2025"",""December 24, 2025"",[""prn251224a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn251224a.html"",""false""],""Important Updates on the Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP) "",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-5509abd51a635e63,IL,il_hfs_provider_notices,prn251126c,provider_bulletin,Update: Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP),Illinois Department of Healthcare and Family Services,interoperability;medicaid;medicare;rural_health,behavioral_health;interoperability;medicaid;medicare;rural_health;waiver,2025-11-26,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn251126c.html,https://hfs.illinois.gov/medicalproviders/notices.html,Medicaid;Medicare;rural health,true,"{""row"":[""2025"",""November 26, 2025"",[""prn251126c"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn251126c.html"",""false""],""Update: Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP) "",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-af546133ed679c59,IL,il_hfs_provider_notices,prn251121c,provider_bulletin,UPDATE: Revisions to the Comprehensive Billing Guide for Medicaid Managed Care Services- Version 35.0,Illinois Department of Healthcare and Family Services,interoperability;managed_care;medicaid;rural_health,behavioral_health;interoperability;managed_care;medicaid;rural_health;waiver,2025-11-21,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn251121c.html,https://hfs.illinois.gov/medicalproviders/notices.html,managed care;Medicaid;rural health,true,"{""row"":[""2025"",""November 21, 2025"",[""prn251121c"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn251121c.html"",""false""],""UPDATE: Revisions to the Comprehensive Billing Guide for Medicaid Managed Care Services- Version 35.0"",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-22e06d99366b42b3,IL,il_hfs_provider_notices,prn251002a,provider_bulletin,Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP),Illinois Department of Healthcare and Family Services,interoperability;medicaid;medicare;rural_health,behavioral_health;interoperability;medicaid;medicare;rural_health;waiver,2025-10-02,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn251002a.html,https://hfs.illinois.gov/medicalproviders/notices.html,Medicaid;Medicare;rural health,true,"{""row"":[""2025"",""October 02, 2025"",[""prn251002a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn251002a.html"",""false""],""Medicare Medicaid Alignment Initiative (MMAI) transition to Dual Eligible Special Needs Plan (D-SNP)"",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
stupd-fbed42e3e9326a0c,IL,il_hfs_provider_notices,prn250509a,provider_bulletin,UPDATE: New Sections Published under the Comprehensive Billing Manual for Medicaid Managed Care Services,Illinois Department of Healthcare and Family Services,interoperability;managed_care;medicaid;rural_health,behavioral_health;interoperability;managed_care;medicaid;rural_health;waiver,2025-05-09,,,,false,,62,"Provider category: All Kids Application Agents Instructions %26 Alerts, All Medical Assistance Providers, Ambulatory Surgical Treatment Centers, Audiologists, Chiropractors, Community Mental Health Providers, Dentists, Department of Alcohol and Substance Abuse Provider, Durable Medical Equipment Suppliers, Early Intervention Services, Electronic Visit Verification, Encounter Rate Clinics, Federally Qualified Health Centers, Home Health Agencies, Hospice, Hospitals, Imaging Centers, Laboratory, Licensed Clinical Psychologists, Licensed Clinical Social Workers, Local Education Agencies, Local Health Departments, Long Term Care, Nurses, Optometrists, Other Governmental Payors, Pharmacies, Physicians, Podiatrists, Renal Dialysis Clinics, Rural Health Clinics, School Based Health Services, School Based Linked Health Center Services, Supportive Living, Therapists, Transportation Providers, Waiver",https://hfs.illinois.gov/medicalproviders/notices/notice.prn250509a.html,https://hfs.illinois.gov/medicalproviders/notices.html,managed care;Medicaid;rural health,true,"{""row"":[""2025"",""May 09, 2025"",[""prn250509a"",""/content/soi/hfs/en/medicalproviders/notices/notice.prn250509a.html"",""false""],""UPDATE: New Sections Published under the Comprehensive Billing Manual for Medicaid Managed Care Services"",""All+Kids+Application+Agents+Instructions+%26+Alerts, All+Medical+Assistance+Providers, Ambulatory+Surgical+Treatment+Centers, Audiologists, Chiropractors, Community+Mental+Health+Providers, Dentists, Department+of+Alcohol+and+Substance+Abuse+Provider, Durable+Medical+Equipment+Suppliers, Early+Intervention+Services, Electronic+Visit+Verification, Encounter+Rate+Clinics, Federally+Qualified+Health+Centers, Home+Health+Agencies, Hospice, Hospitals, Imaging+Centers, Laboratory, Licensed+Clinical+Psychologists, Licensed+Clinical+Social+Workers, Local+Education+Agencies, Local+Health+Departments, Long+Term+Care, Nurses, Optometrists, Other+Governmental+Payors, Pharmacies, Physicians, Podiatrists, Renal+Dialysis+Clinics, Rural+Health+Clinics, School+Based+Health+Services, School+Based+Linked+Health+Center+Services, Supportive+Living, Therapists, Transportation+Providers, Waiver""],""source_url"":""https://hfs.illinois.gov/content/soi/hfs/en/medicalproviders/notices/jcr:content/responsivegrid/container/container_293684588/datatablecontentfrag.datatablecontentfragment.json""}",2026-07-27T15:40:50Z
